DistrictID,DistrictName,ProvinceID,ProvinceName,Region,SubRegion,VSD,Country,GID_2,GID_1,NAME_1,NAME_2,GADM_Latitude,GADM_Longitude,Population,Population_Density,Area,Functional_Profile,Priority_Tier,Zone,Assigned_District_Count,Assigned_NPP_Count,Region_VN,Economic_Type,District_Type,Province_Archetype,District_Archetype,Is Strategic Zone Hub,Est Merchant 2026,Before Discount,After Discount,Logistics Support,Operation Support, Distribution Cost ,Trade Cost,Activation Cost,Visibility Cost,Base Salary & Support,Incentive
129,Huyện Bạch Thông,5,Bắc Kạn,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.4.1_1,VNM.4_1,Bắc Kạn,Bạch Thông,22.2027,105.9359825,32957,64.43492117,511.4773077,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,886,0.066,0.03,0.015,0.008,0.0774,0.146,0.113,0.074,0.089,0.048
131,Huyện Ngân Sơn,5,Bắc Kạn,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.4.6_1,VNM.4_1,Bắc Kạn,Ngân Sơn,22.43265,105.9868255,31056,51.37407665,604.507215,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,926,0.046,0.035,0.02,0.008,0.047,0.067,0.073,0.146,0.034,0.031
132,Huyện Ba Bể,5,Bắc Kạn,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.4.2_1,VNM.4_1,Bắc Kạn,Ba Bể,22.4113,105.7227829,51275,80.08475927,640.2591513,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1254,0.044,0.031,0.012,0.005,0.0196,0.05,0.109,0.112,0.063,0.043
133,Huyện Chợ Mới,5,Bắc Kạn,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.4.4_1,VNM.4_1,Bắc Kạn,Chợ Mới,21.96385,105.8776079,41336,72.82180496,567.6321813,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1057,0.045,0.039,0.012,0.007,0.072,0.053,0.139,0.071,0.075,0.03
136,Huyện Yên Thế,6,Bắc Giang,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.3.10_1,VNM.3_1,Bắc Giang,Yên Thế,21.5259,106.1071222,97018,354.9702158,273.3130716,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,Công nghiệp - đô thị vệ tinh - FDI,Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1420,0.061,0.032,0.012,0.006,0.0774,0.073,0.105,0.135,0.051,0.03
162,Huyện Trùng Khánh,16,Cao Bằng,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.14.13_1,VNM.14_1,Cao Bằng,Trùng Khánh,22.8291,106.5837435,64634,104.7613769,616.9640178,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1568,0.067,0.028,0.025,0.01,0.0372,0.133,0.134,0.112,0.066,0.029
164,Huyện Thông Nông,16,Cao Bằng,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.14.11_1,VNM.14_1,Cao Bằng,Thông Nông,22.8157,105.9586,22431,265.2843326,84.55455994,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,646,0.059,0.036,0.028,0.009,0.0801,0.05,0.07,0.145,0.068,0.039
166,Huyện Trà Lĩnh,16,Cao Bằng,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.14.12_1,VNM.14_1,Cao Bằng,Trà Lĩnh,22.79465,106.3310492,20516,305.1643393,67.22934944,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,529,0.047,0.035,0.012,0.007,0.063,0.121,0.067,0.139,0.051,0.044
168,Huyện Hoà An,16,Cao Bằng,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.14.6_1,VNM.14_1,Cao Bằng,Hoà An,22.6873,106.3047002,48424,89.10798824,543.4305157,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1256,0.067,0.035,0.028,0.007,0.0258,0.146,0.086,0.134,0.058,0.048
169,Huyện Quảng Hòa,16,Cao Bằng,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.14.9_1,VNM.14_1,Cao Bằng,Quảng Hòa,22.67025,106.4625692,61142,101.9159425,599.9257673,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1496,0.07,0.028,0.012,0.008,0.0891,0.139,0.055,0.133,0.092,0.029
